2016-17,name,2017-18,2018-19,2019-20_x,2019-20_y,cross_season_id
,Jonathan Castro Otto,,483.0,402.0,402.0,0f7436be-4bc7-44e9-be24-63d4a1d05908
,Leander Dendoncker,,519.0,420.0,420.0,49818e6a-32c1-40cf-9434-0f1f04982d24
,Kortney Hause,,525.0,25.0,25.0,02d81bef-1c06-4fbb-b833-fe99b27f45f5
,Ryan John Giles,,555.0,,,ebc57f7a-4ddd-4af4-bbc1-0327e60542db
,Max Kilman,,567.0,408.0,408.0,49dacb0c-f81d-4db8-bbbb-835ff74020e6
,Cameron John,,596.0,,,320f6899-38ce-4d9e-a1b8-9a140225069f
,Ahmed El Mohamady,,,22.0,22.0,72f2549b-5f5a-4151-9acf-3e7c840bf303
,Jonathan Kodjia,,,26.0,26.0,21e5f2ae-fb8f-42bd-8cfa-7bb6c0937783
,Ørjan Nyland,,,27.0,27.0,1ea5ea49-0d78-4a9d-b69f-525c0cdd2d99
,Conor Hourihane,,,28.0,28.0,662b2647-1884-46be-ae39-4d24782c2dde
,Jack Grealish,,,29.0,29.0,a96ff46c-8b43-4d4e-9c67-40020c381144
,Anwar El Ghazi,,,30.0,30.0,f7abee0a-e3bf-444c-876b-01dfad2f7656
,John McGinn,,,31.0,31.0,5ec32710-ee8e-499f-8f77-86e371df09b4
,Andre Green,,,32.0,32.0,c38a5286-4f90-4d44-ad86-355479fab711
,Birkir Bjarnason,,,33.0,33.0,50c97d91-98be-4223-a950-0270dfaa1ebf
,Keinan Davis,,,34.0,34.0,85b6a9a2-d45f-4456-99ff-a0d67f4e9fd3
,Henri Lansbury,,,35.0,35.0,241bde73-29bb-46e4-9149-7239344afb92
,José Ignacio Peleteiro Romallo,,,36.0,36.0,fc4941c5-2457-4907-b6fb-50f7995823f1
,Lloyd Kelly,,,64.0,64.0,31dc3360-ffa0-4edb-a5e9-158b9b7a5b4c
,Matthew Clarke,,,43.0,43.0,2aab24c0-34ff-47ff-9a5c-ccd0f1a6ee7e
,Leandro Trossard,,,421.0,421.0,f6e85404-2fa7-4227-b525-f5e0ae61e0be
,Timm Klose,,,272.0,272.0,d0f893e5-0a7b-4e72-affb-59d25c699b12
,Ben Godfrey,,,273.0,273.0,e803389e-0ba8-47f6-a3ff-a448c19e2419
,Maximillian Aarons,,,274.0,274.0,377c06db-6f03-4dda-acd7-3083f041e5ad
,Christoph Zimmermann,,,275.0,275.0,db54f59c-a4d6-4e40-92c7-93219d26cdaa
,Jamal Lewis,,,276.0,276.0,beb340aa-0e41-482c-87c3-e76147d057be
,Teemu Pukki,,,278.0,278.0,af34be64-4d74-4a72-af76-2812ab9082ec
,Dennis Srbeny,,,279.0,279.0,077cdf01-df30-4903-92c5-e2d70e6fc067
,Michael McGovern,,,281.0,281.0,c51fc7fb-0c20-4503-85f6-0d7fcaaf6a98
,Mario Vrancic,,,282.0,282.0,6bcdda97-fa3e-40b4-974b-50e0debb3a67
,Emiliano Buendía,,,283.0,283.0,c17aa1ca-06da-4f44-b050-d639393f10a5
,Onel Hernández,,,284.0,284.0,ecf6f67b-c3e0-40ea-810b-96f9dcd6f416
,Marco Stiepermann,,,285.0,285.0,6f5c1517-458c-49ae-b97d-6c12195fc904
,Kenny McLean,,,286.0,286.0,154be2b1-d6d8-4b01-bd0e-baf8de6c5477
,Todd Cantwell,,,287.0,287.0,cb615b87-accf-49ea-97f2-86f6fa2399bb
,Moritz Leitner,,,288.0,288.0,06e4b6ed-403f-4d34-bff7-136fbb1c28a4
,Alexander Tettey,,,289.0,289.0,7222ebd5-689f-4346-9e59-0e0d8d90a812
,Tom Trybull,,,290.0,290.0,84a6a71c-6d3a-4e19-a66e-e5a396ec0b01
,Enda Stevens,,,291.0,291.0,19132864-e77e-4019-a8e4-40c20d5fffd3
,Kieron Freeman,,,292.0,292.0,abbaed0c-5a85-499a-b8ab-4569c37ff05c
,Jack O'Connell,,,293.0,293.0,2c16f955-440c-43b2-8417-7a458e83b1a9
,George Baldock,,,294.0,294.0,fe10745a-572b-4a16-bbb1-e73865b885d2
,John Egan,,,295.0,295.0,ba57efc5-d38b-416c-b136-efbd9824c00c
,Richard Stearman,,,296.0,296.0,707e917d-9866-4d56-ac4c-9c9323ff19a4
,John Lundstram,,,297.0,297.0,7b818acc-0cc2-4566-909a-b689f84b5f7b
,Billy Sharp,,,298.0,298.0,1c648b1a-c183-466d-adbe-9ce46a2a47f8
,Jake Eastwood,,,299.0,299.0,5a524716-f6ac-425c-a034-d79854f13f3c
,Mark Duffy,,,300.0,300.0,589edf11-5d6b-4f47-af50-e351b688c83c
,John Fleck,,,301.0,301.0,0a4b5c4d-9eaa-4009-b0c9-b63e2e6efe5a
,David McGoldrick,,,303.0,303.0,26570f00-e0b7-4ce1-b226-a6e6ff2d0650
,Chris Basham,,,423.0,423.0,b8001ed9-c4e2-4dc0-8dc0-7645b2826831
,Pablo Fornals,,,399.0,399.0,19a6b523-4ff7-4e21-8066-cf5c96a07ccd
,Daniel Ceballos Fernández,,,,469.0,3675117c-888b-40af-95f4-7dd53fa38b81
,Nicolas Pépé,,,,488.0,02f1c9c9-8d27-4f66-ae80-40ec03d65ec3
,Wesley Moraes,,,,428.0,a9c5c108-07f9-4a07-aa84-5d629bcf6577
,Jed Steer,,,,429.0,cbc84a3b-1643-4be9-a4ee-68557e4bd770
,Ezri Konsa Ngoyo,,,,452.0,008fee59-cc77-4c3f-8469-bf7b53e52b55
,Bjorn Engels,,,,455.0,6c9618ea-dd28-4f6e-b0bf-84e3247b00fe
,Frédéric Guilbert,,,,458.0,f13f057b-c7d7-4e4d-812d-03f26a94207e
,Mahmoud Ahmed Ibrahim Hassan,,,,465.0,62209556-e1b6-40eb-bcf7-9a9956943726
,Douglas Luiz Soares de Paulo,,,,470.0,bfa13ab1-8ad1-454c-ac76-6a23200e10a9
,Lovre Kalinic,,,,474.0,5e0163f1-9563-441a-81c1-a2fb5994ce20
