year,cross_season_id,id
2016,8ef44863-9e88-4bd3-8be5-e0091ee60252,1
2016,d8b3b25d-8844-4db0-a8e4-85648e922781,2
2016,a1de901e-c8c1-48b1-b2e6-2dbf319037db,3
2016,34f6b719-3dfa-4c33-a190-39d184c4be85,4
2016,47bcc7e0-4fc9-4848-b5c7-8c5da86ab8c9,5
2016,cde11cec-c4f4-4ebf-9dee-be4a97732e06,6
2016,e8899a21-171f-4f85-9d97-eebfaf00d8af,7
2016,3fd474fd-ba33-4a6f-abd4-c561950ac69d,8
2016,95a3d65c-e44b-4860-a511-df70997bce08,9
2016,755a367a-b724-4ea9-9788-8c45e75f467f,10
2016,ae3799d3-2b80-47b6-aae3-d1da0e172c65,11
2016,1130fe35-7a79-42a9-9991-4d0a5f1ed516,12
2016,e1902489-aead-494d-8bdd-54dbd4b74c6a,13
2016,8c2cfe97-ace2-4f41-b63a-114f04b7e157,14
2016,d6bb9ba6-0a63-4edf-b619-2084bb989c48,15
2016,e868d869-b256-49ec-bd01-140858e904ca,16
2016,1b8501a4-072d-4848-9be8-e1f2e7d3dde5,17
2016,722a488e-93e3-4897-acef-0e5a77fd7574,18
2016,de6baaa0-9c46-48f4-a043-21ca506918fe,19
2016,c1df554e-4b2f-4ab3-9d40-c0d15649f464,20
2016,1b699fdb-543c-4aad-a796-c3f2ea46c1ba,21
2016,04b099b2-ca9c-4f9d-8dff-c08067703956,22
2016,0ca8e0ed-4534-4038-9f35-bdffa5f8a5db,23
2016,d7d8b4d4-64b0-4084-8855-534effb67eee,24
2016,6f96c1a7-8a28-483e-b17c-de7978a189ff,25
2016,007afbba-f3ea-4bac-bc1d-4762b7766232,26
2016,e4349fb9-c326-4f53-b09f-dd46874e5861,27
2016,f86a6839-b6cf-4480-a4f7-84762901d7d0,28
2016,04a90132-9e9f-4fe5-9c94-1269f38a3d7c,29
2016,bd6cb4be-2de3-49bd-88ec-b37e49473be4,30
2016,1755ac05-fcd7-4e29-9d4b-7326d2940405,31
2016,7c9646fb-513a-4cd4-b821-ed2e014b2e7f,32
2016,2455ae2e-42df-48ed-8bed-f17b0d5e029a,33
2016,d4154723-0a41-473a-80d4-9ed48956b8a5,34
2016,35f34665-79c7-45ed-b911-7c3bac17a90b,35
2016,3e7e149b-3948-4d52-884d-a1dea2026582,36
2016,974b4c50-6281-48be-865a-ea9290743ae4,37
2016,48b83772-c19a-43ac-b9e0-27076d4c970b,38
2016,e1a3ffe7-2b78-4fcb-a6f4-937bbb8e20d7,39
2016,631e8396-8d1f-466e-aedd-2462503321f2,40
2016,90339307-459f-4a44-a3db-fdb50b05ac60,41
2016,f0c75f4b-516b-47e6-bf5b-1416c197a166,42
2016,4c72a258-589c-466a-8d14-781a8a5ee523,43
2016,3b65e271-036a-412b-8ec4-e4b72b8fa0d4,44
2016,97876a87-edf7-426e-8797-989fce5534f4,45
2016,219c2da9-2c71-45e1-9a6d-bfed1a2f3a6f,46
2016,2ee34fd5-4363-4f8a-ba58-3d033820971b,47
2016,7bc81bea-8bfe-4535-9f1e-617347a90e11,48
2016,89b8dc85-c48a-48d7-8107-d14ad723d020,49
2016,02d5ddce-1700-4373-a4c1-1e51b90a7d82,50
2016,31df53ec-010b-4749-bf5e-ae59c83a2a92,51
2016,91a994c3-9f7b-4810-aa86-0313677d70c2,52
2016,c9e3400f-d788-47c6-8ce1-fa545f85539d,53
2016,fcc4a092-15d3-4a3c-a726-1d695e09e3af,54
2016,ea788fa1-4e9f-4807-ab68-9360c44b9860,55
