assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,year,Season,news_added,"year, id",uuid,position
1,7,499,100,100,7,101184,0,0,-2,2,107.0,0,70.0,2,2.2,-1.0,1,Calum,0.0,37,2,88.0,11,False,692.2,0.0,0.0,0.0,0.0,2250,,43,0,0,0,101184.jpg,3.3,0,0,Chambers,3.4,False,25,a,12,25,80.0,83,314186,0,321291,0,0.0,19.3,Chambers,4,2016,2016-17,,"(2016, 11)",fd071706-1562-46d5-b388-c4626c3733ed,DEF
11,32,834,100,100,13,37265,0,0,7,-7,1278.3,9,690.0,3,7.5,0.0,9,Alexis,0.0,41,24,453.4,12,True,1357.8,0.0,0.0,0.0,0.0,3217,,117,0,1,0,37265.jpg,6.9,0,0,Sánchez,29.7,False,7,a,1,3,1896.0,264,2498884,0,1714802,0,0.0,22.6,Sánchez,6,2016,2016-17,,"(2016, 12)",14cf9841-cd64-48d3-8e5f-572d1ebb7ba1,MID
3,7,380,100,100,8,20467,0,0,-3,3,280.5,2,316.0,3,1.0,0.0,0,Theo,0.0,26,10,184.1,13,False,541.8,0.0,0.0,0.0,0.0,1916,,72,0,1,0,20467.jpg,4.4,0,0,Walcott,4.2,False,14,a,1,3,1023.0,122,1654725,0,1610816,0,0.0,16.9,Walcott,1,2016,2016-17,,"(2016, 13)",a5234ba5-34de-4738-9afb-670e173ecbed,MID
11,19,729,100,100,12,37605,0,0,0,0,1649.3,3,783.0,3,4.7,0.0,5,Mesut,0.0,30,8,322.0,14,False,834.4,0.0,0.0,0.0,0.0,2841,,95,0,0,0,37605.jpg,5.1,0,0,Özil,7.5,False,11,a,1,3,734.0,167,647540,0,629467,0,0.0,17.6,Özil,2,2016,2016-17,,"(2016, 14)",f05e3cc9-9a16-4c4e-bf94-f5d540728444,MID
2,5,159,75,0,4,19524,0,0,-5,5,221.7,0,259.0,3,0.0,0.0,0,Santiago,0.0,5,2,50.8,15,False,198.2,0.0,0.0,0.0,0.0,618,Ankle injury - 75% chance of playing,70,0,0,0,19524.jpg,4.8,0,0,Cazorla,1.4,False,19,d,1,3,89.0,38,330242,0,373681,0,0.0,5.4,Cazorla,2,2016,2016-17,,"(2016, 15)",ef26c264-3e9c-462a-9312-50d2be1c97d8,MID
4,3,240,100,100,4,41792,0,0,-4,4,361.2,0,558.0,3,3.2,0.0,10,Aaron,0.0,20,1,111.3,16,False,257.2,0.0,0.0,0.0,0.0,1236,,76,0,0,0,41792.jpg,2.4,0,0,Ramsey,1.1,False,8,a,1,3,496.0,56,27952,0,154794,0,0.0,7.4,Ramsey,3,2016,2016-17,,"(2016, 16)",4774d269-1420-480e-baa9-cd0e9b665698,MID
3,2,312,75,0,5,54102,0,0,-2,2,544.4,0,18.0,3,0.0,0.0,0,Jack,0.0,45,0,116.8,17,False,308.4,0.0,0.0,0.0,0.0,1950,Leg injury - 75% chance of playing,58,0,0,0,54102.jpg,2.1,0,0,Wilshere,0.5,False,32,d,2,91,321.0,61,82762,0,81937,0,0.0,10.5,Wilshere,4,2016,2016-17,,"(2016, 17)",1c7ebb45-d615-474d-8305-024bb654315a,MID
7,3,393,100,0,4,81880,0,0,-2,2,519.9,1,186.0,3,0.0,0.0,0,Alex,0.0,22,2,137.5,18,False,435.4,0.0,0.0,0.0,0.0,1564,,58,0,0,0,81880.jpg,2.9,0,0,Oxlade-Chamberlain,1.4,False,15,a,1,3,416.0,83,161030,0,188872,0,0.0,14.3,Chamberlain,1,2016,2016-17,,"(2016, 18)",e8ed12d4-1085-434c-aa25-b1aacdde0f62,MID
0,0,0,0,0,0,133798,0,0,0,0,0.0,0,4.0,3,0.0,0.0,0,Serge,0.0,0,0,0.0,19,False,0.0,0.0,0.0,0.0,0.0,0,Joined Werder Bremen on 31/8,50,0,0,0,133798.jpg,0.0,0,0,Gnabry,0.0,False,27,u,1,3,0.0,0,408,0,1070,0,0.0,0.0,Gnabry,0,2016,2016-17,,"(2016, 19)",b19a28f6-2bab-4b89-ba78-09e2b9444de9,MID
1,1,303,100,100,5,56864,0,0,-3,3,314.1,0,246.0,3,1.2,0.0,1,Francis,0.0,27,0,72.4,20,False,291.6,0.0,0.0,0.0,0.0,1779,,42,0,0,0,56864.jpg,1.8,0,0,Coquelin,1.9,False,34,a,1,3,117.0,52,156345,0,182857,0,0.0,12.4,Coquelin,5,2016,2016-17,,"(2016, 20)",30c5558f-fc58-43cc-aef3-35a78fba2499,MID
5,8,352,100,100,9,153133,0,0,-7,7,467.8,1,150.0,3,0.2,0.0,1,Alex,0.0,20,3,138.7,21,False,326.4,0.0,0.0,0.0,0.0,1456,,53,0,0,0,153133.jpg,3.4,0,0,Iwobi,1.1,False,17,a,1,3,592.0,89,261475,0,280854,0,0.0,16.8,Iwobi,1,2016,2016-17,,"(2016, 21)",8da7a6c0-40c7-4911-b324-455fea2c9eb6,MID
1,0,133,100,100,3,153256,0,0,-5,5,108.6,0,134.0,3,0.0,0.0,0,Mohamed,0.0,9,0,31.1,22,False,89.0,0.0,0.0,0.0,0.0,694,,45,0,0,0,153256.jpg,1.9,0,0,Elneny,0.4,False,35,a,1,3,116.0,26,11147,0,33295,0,0.0,5.8,Elneny,1,2016,2016-17,,"(2016, 22)",2490b7b1-117c-4f8b-b84d-017600b3d6e1,MID
0,0,0,0,0,0,99127,0,0,-1,1,0.0,0,175.0,3,0.0,0.0,0,Joel,0.0,0,0,0.0,23,False,0.0,0.0,0.0,0.0,0.0,0,Joined Sporting Lisbon in season-long loan deal,59,0,0,0,99127.jpg,0.0,0,0,Campbell,0.0,False,28,u,1,3,0.0,0,563,0,5171,0,0.0,0.0,Campbell,0,2016,2016-17,,"(2016, 23)",ab9adb88-a911-45b3-9f2c-c495ff549c0f,MID
3,7,506,100,100,10,84450,0,0,-3,3,626.2,1,0.0,3,3.8,0.0,2,Granit,0.0,32,2,130.8,24,False,488.8,0.0,0.0,0.0,0.0,2483,,52,0,0,0,84450.jpg,2.7,2,0,Xhaka,3.2,False,29,a,1,3,193.0,85,134586,0,273981,0,0.0,16.3,Xhaka,5,2016,2016-17,,"(2016, 24)",18fb7b33-f69a-442d-9118-775f92655b41,MID
5,17,432,100,100,4,44346,0,0,-9,9,275.1,3,629.0,4,4.5,0.0,0,Olivier,0.0,16,12,158.9,25,False,522.6,0.0,0.0,0.0,0.0,1206,,81,0,0,0,44346.jpg,4.0,0,0,Giroud,4.7,False,12,a,1,3,797.0,116,846204,0,733826,0,0.0,14.3,Giroud,2,2016,2016-17,,"(2016, 25)",66ec3991-964f-4e50-9726-c9b046e33373,FWD
2,0,117,100,100,3,50175,0,0,-2,2,89.9,0,164.0,4,2.0,0.0,8,Danny,0.0,11,2,55.5,26,False,144.8,0.0,0.0,0.0,0.0,748,,73,0,0,0,50175.jpg,2.3,0,0,Welbeck,0.8,False,23,a,1,3,321.0,37,81846,0,54873,0,0.0,5.1,Welbeck,0,2016,2016-17,,"(2016, 26)",e5976b9f-9d7e-4235-b177-f5cc1a014255,FWD
0,0,0,100,100,0,80711,0,0,-4,4,0.0,0,0.0,4,0.0,0.0,0,Yaya,0.0,0,0,0.0,27,False,0.0,0.0,0.0,0.0,0.0,0,,46,0,0,0,80711.jpg,0.0,0,0,Sanogo,0.1,False,22,a,1,3,0.0,0,4039,0,9537,0,0.0,0.0,Sanogo,0,2016,2016-17,,"(2016, 27)",8d5cb42a-4a42-41d4-bdb5-6f119e412a9c,FWD
0,0,0,0,0,0,154998,0,0,-1,1,0.0,0,0.0,4,0.0,0.0,0,Takuma,0.0,0,0,0.0,28,False,0.0,0.0,0.0,0.0,0.0,0,Awaiting work permit,49,0,0,0,154998.jpg,0.0,0,0,Asano,0.0,False,None,u,1,3,0.0,0,687,0,4515,0,0.0,0.0,Asano,0,2016,2016-17,,"(2016, 28)",0262450a-233b-4038-82b1-9b6df2473fd0,FWD
0,7,657,100,100,9,18726,0,0,0,0,10.0,2,281.0,1,3.5,-0.5,0,Artur,0.0,63,0,82.4,29,False,815.4,0.0,0.0,0.0,0.0,3150,,45,0,0,2,18726.jpg,3.4,0,115,Boruc,6.2,False,1,a,2,91,0.0,120,315307,0,282288,0,0.0,26.7,Boruc,2,2016,2016-17,,"(2016, 29)",e1d275a0-c355-49b9-9504-427eca9e5f6c,GK
0,1,37,75,0,1,15885,0,0,-1,1,0.0,0,31.0,1,0.0,0.0,0,Adam,0.0,3,0,3.5,30,False,34.4,0.0,0.0,0.0,0.0,180,Knee injury - 75% chance of playing,44,0,0,0,15885.jpg,4.0,0,5,Federici,0.1,False,23,d,2,91,0.0,8,2240,0,4322,0,0.0,1.8,Federici,1,2016,2016-17,,"(2016, 30)",157fdae5-e135-4b70-9db8-0069305b8586,GK
1,7,639,100,100,10,15149,0,0,0,0,291.2,1,462.0,2,3.8,-0.5,1,Simon,0.0,54,0,117.3,31,False,748.2,0.0,0.0,0.0,0.0,2938,,45,0,0,0,15149.jpg,2.6,1,0,Francis,1.4,False,2,a,2,91,130.0,89,172920,0,176907,0,0.0,19.8,Francis,4,2016,2016-17,,"(2016, 31)",606a0fe4-c190-4523-8cd1-9311cefbd78b,DEF
0,17,777,100,100,10,56917,0,0,-2,2,66.2,1,443.0,2,3.3,-0.5,2,Steve,0.0,67,2,158.2,32,False,1123.0,0.0,0.0,0.0,0.0,3420,,48,1,0,0,56917.jpg,2.9,0,0,Cook,3.2,False,3,a,2,91,391.0,112,252167,0,158758,0,0.0,23.3,Steve Cook,5,2016,2016-17,,"(2016, 32)",b87897d3-a344-4fa7-88f8-651929105336,DEF
3,14,692,100,100,10,41320,0,0,2,-2,528.3,5,491.0,2,5.3,-0.5,2,Charlie,0.0,53,4,152.9,33,False,698.2,0.0,0.0,0.0,0.0,3060,,52,0,0,0,41320.jpg,3.9,0,0,Daniels,9.9,False,11,a,2,91,302.0,134,869600,0,648348,0,0.0,25.8,Daniels,1,2016,2016-17,,"(2016, 33)",a59e8e63-8b10-44c6-9c5e-b61640c4fda9,DEF
5,12,645,100,100,8,54469,0,0,1,-1,509.8,1,297.0,2,5.3,-0.5,2,Adam,0.0,61,1,132.1,34,False,566.6,0.0,0.0,0.0,0.0,3101,,46,1,0,0,54469.jpg,2.9,0,0,Smith,7.0,False,15,a,2,91,242.0,104,700992,0,532703,0,0.0,22.6,Smith,6,2016,2016-17,,"(2016, 34)",249f8d73-fb42-472e-9918-e424a5f6b818,DEF
0,2,89,100,100,0,149484,0,0,0,0,18.3,0,1.0,2,-0.5,-0.5,0,Tyrone,0.0,16,0,18.9,35,False,125.4,0.0,0.0,0.0,0.0,506,,45,2,0,0,149484.jpg,0.6,0,0,Mings,0.0,False,26,a,2,91,45.0,4,1890,0,2242,0,0.0,0.9,Mings,0,2016,2016-17,,"(2016, 35)",1ec72cb7-edb9-492e-9ac5-2d8e68c6c74a,DEF
1,8,267,100,100,3,126184,0,0,-6,6,55.5,2,232.0,2,2.3,1.5,0,Nathan,0.0,20,3,57.5,36,False,373.2,0.0,0.0,0.0,0.0,834,,39,0,0,0,126184.jpg,4.6,0,0,Aké,6.1,False,6,a,4,8,147.0,55,662287,0,504357,0,0.0,14.1,Aké,1,2016,2016-17,,"(2016, 36)",e4af7d9b-d954-443a-b3bc-fc126eb7e5b9,DEF
4,6,513,100,75,9,48615,0,0,0,0,533.0,0,188.0,3,2.1,-0.4,0,Harry,0.0,62,1,135.4,37,False,482.0,0.0,0.0,0.0,0.0,2956,,50,0,1,0,48615.jpg,2.4,1,0,Arter,0.3,False,8,a,2,91,343.0,84,26546,0,24970,0,0.0,16.8,Arter,11,2016,2016-17,,"(2016, 37)",7e614de3-9181-4ee6-ab25-669aa33196e1,MID
3,6,224,100,100,5,20037,0,0,-4,4,304.6,2,245.0,3,4.8,-0.5,2,Marc,0.0,24,2,83.3,38,False,238.6,0.0,0.0,0.0,0.0,1329,,46,0,0,0,20037.jpg,3.0,0,0,Pugh,0.4,False,7,a,2,91,290.0,64,27133,0,13978,0,0.0,13.9,Pugh,1,2016,2016-17,,"(2016, 38)",79d7ba56-04f2-44bb-84fb-3808cbb7ded3,MID
1,0,288,100,100,4,15237,0,0,-4,4,223.8,0,385.0,3,-0.5,-0.5,2,Andrew,0.0,38,0,57.0,39,False,256.8,0.0,0.0,0.0,0.0,1800,,46,0,0,0,15237.jpg,2.0,1,0,Surman,0.1,False,6,a,2,91,90.0,44,2544,0,9703,0,0.0,9.6,Surman,1,2016,2016-17,,"(2016, 39)",ab260c84-d342-4e21-a6af-0559fadf7a91,MID
0,0,0,0,0,0,80498,0,0,-1,1,0.0,0,84.0,3,0.0,0.0,0,Eunan,0.0,0,0,0.0,40,False,0.0,0.0,0.0,0.0,0.0,0,Joined Leeds on 31/8,44,0,0,0,80498.jpg,0.0,0,0,O'Kane,0.3,False,32,u,2,91,0.0,0,1488,0,11094,0,0.0,0.0,O'Kane,0,2016,2016-17,,"(2016, 40)",34084f08-c799-4d79-b21e-6fcd5ff6642d,MID
0,0,0,0,0,0,20669,0,0,0,0,0.0,0,3.0,3,0.0,0.0,0,Shaun,0.0,0,0,0.0,41,False,0.0,0.0,0.0,0.0,0.0,0,Transferred to Wigan,45,0,0,0,20669.jpg,0.0,0,0,MacDonald,0.1,False,16,u,2,91,0.0,0,422,0,4223,0,0.0,0.0,MacDonald,0,2016,2016-17,,"(2016, 41)",9f564934-7772-46c7-a561-94bb7615de61,MID
6,13,372,75,100,4,56872,0,0,-9,9,406.9,1,217.0,3,4.8,-0.5,9,Junior,0.0,29,7,128.0,42,False,454.6,0.0,0.0,0.0,0.0,1467,Hernia - 75% chance of playing,46,0,0,0,56872.jpg,5.1,0,0,Stanislas,1.3,False,19,d,2,91,418.0,107,335334,0,294179,0,0.0,23.3,Stanislas,1,2016,2016-17,,"(2016, 42)",03029802-4192-477b-aab7-cc92c980295e,MID
0,2,254,100,100,4,40387,0,0,-3,3,181.7,0,331.0,3,0.0,-0.5,3,Dan,0.0,24,2,60.5,43,False,254.0,0.0,0.0,0.0,0.0,1366,,47,0,0,0,40387.jpg,1.8,0,0,Gosling,0.1,False,4,a,2,91,168.0,49,8398,0,12925,0,0.0,10.4,Gosling,6,2016,2016-17,,"(2016, 43)",f98e3217-18f1-4b56-8be9-8b004f4cf9bc,MID
0,0,24,100,100,0,59741,0,0,-5,5,18.2,0,155.0,3,-0.2,-0.5,0,Max,0.0,1,0,10.8,44,False,24.6,0.0,0.0,0.0,0.0,134,,50,0,0,0,59741.jpg,0.7,0,0,Gradel,0.1,False,10,a,2,91,70.0,8,1178,0,13431,0,0.0,1.6,Gradel,3,2016,2016-17,,"(2016, 44)",7e2fc975-e598-41d3-a18d-f9d4be4a7a9e,MID
0,0,0,0,0,0,122342,0,0,-1,1,0.0,0,0.0,3,0.0,0.0,0,Emerson,0.0,0,0,0.0,45,False,0.0,0.0,0.0,0.0,0.0,0,Joined Rangers on loan from 9/1 until end of the season,44,0,0,0,122342.jpg,0.0,0,0,Hyndman,0.0,False,22,u,2,91,0.0,0,680,0,1375,0,0.0,0.0,Hyndman,0,2016,2016-17,,"(2016, 45)",832513a9-0890-4aa2-891f-9b9f56a1aecf,MID
0,0,133,100,100,3,103912,0,0,-6,6,268.3,0,184.0,3,0.0,-0.5,1,Jordon,0.0,22,0,61.5,46,False,113.0,0.0,0.0,0.0,0.0,1055,,49,0,0,0,103912.jpg,1.4,0,0,Ibe,1.1,False,33,a,2,91,235.0,36,26236,0,163375,0,0.0,7.3,Ibe,0,2016,2016-17,,"(2016, 46)",4b54653f-3da9-4ec8-8499-181ed53f76a9,MID
2,1,81,100,0,1,155408,0,0,-3,3,89.8,0,0.0,3,0.0,0.0,0,Lewis,0.0,7,0,21.8,47,False,100.8,0.0,0.0,0.0,0.0,432,,42,0,0,0,155408.jpg,2.8,0,0,Cook,0.8,False,18,a,2,91,28.0,17,28535,0,38906,0,0.0,4.0,Lewis Cook,1,2016,2016-17,,"(2016, 47)",bf15af56-5456-4e72-8350-1836c90e52bd,MID
3,17,553,100,75,9,78007,0,0,7,-7,474.6,3,321.0,3,5.9,-0.4,0,Joshua,0.0,54,16,231.6,48,False,835.2,0.0,0.0,0.0,0.0,2714,,62,0,1,0,78007.jpg,4.9,0,0,King,19.3,False,17,a,2,91,1007.0,178,1124078,0,312348,0,0.0,28.7,King,1,2016,2016-17,,"(2016, 48)",e78cf989-dc02-47f2-bc20-d3e9de3645c2,MID
1,2,170,75,0,6,75115,0,0,-5,5,125.7,0,165.0,4,0.0,0.0,0,Callum,0.0,25,6,82.2,49,False,229.0,0.0,0.0,0.0,0.0,1361,Knee injury - 75% chance of playing,60,0,0,0,75115.jpg,3.1,0,0,Wilson,1.1,False,13,d,2,91,487.0,63,355011,0,426076,0,0.0,10.5,Callum Wilson,0,2016,2016-17,,"(2016, 49)",2383688d-5af2-4461-9d90-52d6b545d970,FWD
0,0,0,0,0,0,126468,0,0,0,0,0.0,0,3.0,4,0.0,0.0,0,Tokelo,0.0,0,0,0.0,50,False,0.0,0.0,0.0,0.0,0.0,0,Joined Turkish outfit Genclerbirligi on 26/8,45,0,0,0,126468.jpg,0.0,0,0,Rantie,0.3,False,9,u,2,91,0.0,0,2145,0,14527,0,0.0,0.0,Rantie,0,2016,2016-17,,"(2016, 50)",66fd107f-2e6e-4690-b71a-5611fe1bbe58,FWD
1,0,17,0,0,0,21246,0,0,-2,2,11.8,0,124.0,4,0.0,0.0,0,Lewis,0.0,2,0,5.3,51,False,24.2,0.0,0.0,0.0,0.0,60,Season long loan to Reading,43,0,0,0,21246.jpg,2.0,0,0,Grabban,2.9,False,28,u,2,91,17.0,6,193792,0,272441,0,0.0,1.4,Grabban,0,2016,2016-17,,"(2016, 51)",88c03c58-34b4-4cbb-9410-616583eea24e,FWD
5,9,259,100,25,5,88498,0,0,-7,7,320.7,1,146.0,4,0.3,-0.1,1,Benik,0.0,24,6,130.8,52,False,350.0,0.0,0.0,0.0,0.0,1458,,53,0,1,0,88498.jpg,2.8,0,0,Afobe,1.2,False,9,a,2,91,639.0,88,217579,0,198000,0,0.0,16.6,Afobe,1,2016,2016-17,,"(2016, 52)",2d85eb7f-ab40-47f8-b48a-cd14d4b4f670,FWD
1,0,22,100,100,1,178304,0,0,-4,4,39.6,0,0.0,4,0.3,-0.5,5,Lys,0.0,4,0,16.1,53,False,27.8,0.0,0.0,0.0,0.0,270,,51,1,0,0,178304.jpg,1.3,0,0,Mousset,0.1,False,31,a,2,91,109.0,14,1984,0,3721,0,0.0,2.7,Mousset,0,2016,2016-17,,"(2016, 53)",35d6b9a8-07ca-480a-8f83-d2eb039330a7,FWD
0,21,741,100,100,10,21205,0,0,6,-6,30.3,4,0.0,1,3.0,0.0,1,Tom,0.0,48,0,103.2,54,True,1001.6,0.0,0.0,0.0,0.0,3150,,51,0,0,1,21205.jpg,4.3,0,142,Heaton,18.6,False,1,a,3,90,0.0,149,976551,0,464893,0,0.0,29.2,Heaton,1,2016,2016-17,,"(2016, 54)",67ba3106-a2e4-4e43-ac22-a69837d8cf87,GK
2,5,631,100,100,9,68983,0,0,0,0,491.5,0,0.0,2,2.0,0.0,1,Matthew,0.0,53,0,134.2,55,False,770.6,0.0,0.0,0.0,0.0,3240,,45,0,0,0,68983.jpg,2.5,0,0,Lowton,0.8,False,2,a,3,90,80.0,90,59732,0,42770,0,0.0,20.0,Lowton,9,2016,2016-17,,"(2016, 55)",65bba37e-c3c2-4cbc-a893-bcc3e39be22e,DEF
2,6,592,100,25,9,51927,0,0,-1,1,93.7,0,0.0,2,0.0,0.0,0,Ben,0.0,49,1,126.7,56,False,890.0,0.0,0.0,0.0,0.0,3015,,44,2,0,0,51927.jpg,2.8,0,0,Mee,2.2,False,6,a,3,90,281.0,94,239402,0,182928,0,0.0,21.4,Mee,5,2016,2016-17,,"(2016, 56)",49654418-f658-4c37-83f2-b95226435ad3,DEF
1,3,596,100,100,8,40616,0,0,0,0,409.9,0,0.0,2,1.8,0.0,1,Stephen,0.0,53,1,118.3,57,False,644.6,0.0,0.0,0.0,0.0,3230,,45,0,0,0,40616.jpg,2.5,0,0,Ward,1.6,False,23,a,3,90,128.0,91,127226,0,68354,0,0.0,20.2,Ward,5,2016,2016-17,,"(2016, 57)",e8ca4176-688c-4372-b774-cd4265345940,DEF
1,10,619,100,75,10,106611,0,0,0,0,96.7,3,0.0,2,1.7,0.0,0,Michael,0.0,49,2,158.6,58,False,930.8,0.0,0.0,0.0,0.0,3150,,50,0,0,0,106611.jpg,3.2,0,0,Keane,3.3,False,5,a,3,90,557.0,113,245278,0,168551,0,0.0,22.6,Keane,4,2016,2016-17,,"(2016, 58)",0cffaa3a-92e8-4ed5-963f-826e73aa98a8,DEF
0,0,111,None,None,1,17761,0,0,0,0,53.4,0,0.0,2,2.3,0.0,1,James,0.0,11,0,27.5,59,False,146.2,0.0,0.0,0.0,0.0,568,,40,0,0,0,17761.jpg,1.2,0,0,Tarkowski,1.8,False,26,a,3,90,81.0,23,82824,0,83844,0,0.0,5.8,Tarkowski,1,2016,2016-17,,"(2016, 59)",67d38671-a770-408c-8f91-9aada16ae438,DEF
0,0,0,None,None,0,85017,0,0,-3,3,0.0,0,0.0,2,0.0,0.0,0,Tendayi,0.0,0,0,0.0,60,False,0.0,0.0,0.0,0.0,0.0,0,,42,0,0,0,85017.jpg,0.0,0,0,Darikwa,0.1,False,27,a,3,90,0.0,0,1238,0,2416,0,0.0,0.0,Darikwa,0,2016,2016-17,,"(2016, 60)",4787eab5-e917-4eec-96a9-1ec865fc469c,DEF
0,0,8,0,0,0,19556,0,0,0,0,11.7,0,0.0,3,0.0,0.0,0,David,0.0,1,0,1.3,61,False,0.0,0.0,0.0,0.0,0.0,86,Transferred to Sheffield Wednesday,50,0,0,0,19556.jpg,1.0,0,0,Jones,0.0,False,14,u,3,90,2.0,1,201,0,3037,0,0.0,0.2,Jones,1,2016,2016-17,,"(2016, 61)",8867efe5-e7aa-45a7-92a8-f83d13b8cdae,MID
