code,name,position,value,score,score_per_value,team
102057,Raúl Jiménez,FWD,76,13.5,0.17763157894736842,Wolves
118748,Mohamed Salah,MID,126,12.1,0.09603174603174602,Liverpool
108823,Bamidele Alli,MID,85,11.8,0.1388235294117647,Spurs
114283,Jack Grealish,MID,67,10.1,0.15074626865671642,Aston Villa
193111,Todd Cantwell,MID,48,9.2,0.19166666666666665,Norwich
169187,Trent Alexander-Arnold,DEF,72,9.0,0.125,Liverpool
171129,Diego Rico,DEF,42,5.8,0.1380952380952381,Bournemouth
101668,Jamie Vardy,FWD,99,3.3,0.03333333333333333,Leicester
172850,Benjamin Chilwell,DEF,56,3.2,0.05714285714285715,Leicester
98747,Nick Pope,GK,46,3.1,0.06739130434782609,Burnley
184341,Mason Mount,MID,67,3.1,0.04626865671641791,Chelsea
153723,John Lundstram,DEF,42,2.5,0.05952380952380953,Sheffield Utd
178304,Lys Mousset,FWD,46,2.3,0.049999999999999996,Sheffield Utd
58786,Martin Kelly,DEF,44,1.1,0.025,Crystal Palace
38533,Rui Pedro dos Santos Patrício,GK,51,1.0,0.0196078431372549,Wolves
