code,name,position,value,score,score_per_value,team
103955,Raheem Sterling,MID,123,17.3,0.14065040650406505,Man City
118748,Mohamed Salah,MID,125,15.9,0.1272,Liverpool
193111,Todd Cantwell,MID,48,9.2,0.19166666666666665,Norwich
57127,Teemu Pukki,FWD,70,9.0,0.12857142857142856,Norwich
80146,Jordan Ayew,FWD,51,6.0,0.11764705882352941,Crystal Palace
206325,Oleksandr Zinchenko,DEF,56,4.8,0.08571428571428572,Man City
61366,Kevin De Bruyne,MID,98,4.8,0.04897959183673469,Man City
172780,James Maddison,MID,71,4.3,0.060563380281690136,Leicester
39487,Erik Pieters,DEF,47,3.5,0.07446808510638298,Burnley
98747,Nick Pope,GK,46,3.1,0.06739130434782609,Burnley
153723,John Lundstram,DEF,42,2.5,0.05952380952380952,Sheffield Utd
149484,Tyrone Mings,DEF,46,1.8,0.0391304347826087,Aston Villa
38533,Rui Pedro dos Santos Patrício,GK,51,1.0,0.0196078431372549,Wolves
44699,Ashley Barnes,FWD,67,0.2,0.0029850746268656717,Burnley
109533,Emerson Palmieri dos Santos,DEF,55,0.0,0.0,Chelsea
