code,name,position,value,score,score_per_value,team
101668,Jamie Vardy,FWD,90.0,7.6,0.08444444444444445,Leicester
110979,Sadio Mané,MID,115.0,7.5,0.06521739130434782,Liverpool
169187,Trent Alexander-Arnold,DEF,70.0,7.3,0.10428571428571427,Liverpool
101188,Lucas Digne,DEF,60.0,6.6,0.11,Everton
111234,Jordan Pickford,GK,55.0,5.7,0.10363636363636364,Everton
168580,Ayoze Pérez,MID,65.0,6.5,0.1,Leicester
146941,Aymeric Laporte,DEF,65.0,5.9375,0.09134615384615384,Man City
194634,Diogo Jota,FWD,65.0,5.5625,0.08557692307692308,Wolves
166989,Youri Tielemans,MID,65.0,5.5,0.08461538461538462,Leicester
97032,Virgil van Dijk,DEF,65.0,5.4,0.08307692307692308,Liverpool
60551,Ashley Westwood,MID,55.0,4.2,0.07636363636363637,Burnley
59949,Seamus Coleman,DEF,55.0,5.9,0.10727272727272728,Everton
94924,Gerard Deulofeu,FWD,65.0,4.0,0.06153846153846154,Watford
433154,Dwight McNeil,MID,60.0,3.8,0.06333333333333332,Burnley
40836,Vicente Guaita,GK,50.0,3.7777777777777777,0.07555555555555556,Crystal Palace
