code,name,position,value,score,score_per_value,team
103955,Raheem Sterling,MID,123,17.3,0.14065040650406505,Man City
118748,Mohamed Salah,MID,125,15.9,0.1272,Liverpool
85971,Heung-Min Son,MID,98,10.2,0.10408163265306122,Spurs
193111,Todd Cantwell,MID,48,9.2,0.19166666666666665,Norwich
57127,Teemu Pukki,FWD,70,9.0,0.12857142857142856,Norwich
173879,Tammy Abraham,FWD,77,8.6,0.11168831168831167,Chelsea
80146,Jordan Ayew,FWD,51,6.0,0.1176470588235294,Crystal Palace
171129,Diego Rico,DEF,42,5.8,0.1380952380952381,Bournemouth
93100,Jannik Vestergaard,DEF,52,5.4,0.10384615384615384,Southampton
39487,Erik Pieters,DEF,47,3.5,0.07446808510638298,Burnley
98747,Nick Pope,GK,46,3.1,0.06739130434782609,Burnley
184341,Mason Mount,MID,67,3.1,0.04626865671641791,Chelsea
153723,John Lundstram,DEF,42,2.5,0.05952380952380953,Sheffield Utd
149484,Tyrone Mings,DEF,46,1.8,0.0391304347826087,Aston Villa
38533,Rui Pedro dos Santos Patrício,GK,51,1.0,0.0196078431372549,Wolves
